CUST_NO_y,VTG,AGETIER
2730505.6,16-20 th,21-30 th
2734315.2,16-20 th,41-50 th
2668305.2,16-20 th,41-50 th
2526375.6,16-20 th,41-50 th
2437968.4,16-20 th,51-65 th
2390138.2,16-20 th,31-40 th
2330060.0,16-20 th,31-40 th
1517175.0,16-20 th,41-50 th
1036137.0,> 20 th,51-65 th
2907308.8,16-20 th,31-40 th
2463358.8,16-20 th,31-40 th
2487891.0,16-20 th,51-65 th
2384914.8,16-20 th,51-65 th
2248992.4,16-20 th,31-40 th
1173056.8,> 20 th,41-50 th
1187410.2,> 20 th,41-50 th
1193235.0,> 20 th,51-65 th
1025352.6,> 20 th,31-40 th
721800.0,> 20 th,51-65 th
115963.2,> 20 th,51-65 th
3051363.2,16-20 th,41-50 th
3136403.2,16-20 th,31-40 th
3139709.2,16-20 th,41-50 th
3215366.8,16-20 th,31-40 th
3211178.2,16-20 th,31-40 th
3246172.4,16-20 th,31-40 th
3315186.4,11-15 th,41-50 th
3332232.6,11-15 th,31-40 th
3344777.4,11-15 th,41-50 th
3529188.4,11-15 th,31-40 th
3522110.0,11-15 th,31-40 th
3712522.0,11-15 th,31-40 th
3773630.4,11-15 th,31-40 th
3931470.0,11-15 th,51-65 th
3961249.2,11-15 th,21-30 th
4004743.8,11-15 th,31-40 th
4063389.2,11-15 th,41-50 th
4055792.2,11-15 th,41-50 th
4073103.4,11-15 th,41-50 th
4090315.4,11-15 th,41-50 th
4109105.0,11-15 th,41-50 th
4103067.4,11-15 th,41-50 th
4169728.8,11-15 th,21-30 th
4165427.8,11-15 th,51-65 th
4181732.8,11-15 th,31-40 th
4169496.2,11-15 th,21-30 th
4261399.8,6-10 th,21-30 th
4306072.8,6-10 th,31-40 th
4305832.6,6-10 th,31-40 th
4299005.0,6-10 th,21-30 th
4366248.6,6-10 th,31-40 th
4363062.8,6-10 th,21-30 th
4355851.8,6-10 th,31-40 th
4350206.0,6-10 th,31-40 th
4350727.6,6-10 th,21-30 th
4342217.4,16-20 th,41-50 th
4336729.4,6-10 th,51-65 th
4342371.0,6-10 th,21-30 th
4418925.0,6-10 th,41-50 th
4418043.4,6-10 th,21-30 th
4383306.4,6-10 th,31-40 th
4461542.8,6-10 th,31-40 th
4476407.4,6-10 th,21-30 th
4495296.0,6-10 th,41-50 th
4565236.0,6-10 th,41-50 th
4542776.2,6-10 th,21-30 th
4593542.2,6-10 th,21-30 th
4722006.6,6-10 th,31-40 th
4762379.0,6-10 th,31-40 th
4758516.8,6-10 th,21-30 th
4756283.0,6-10 th,41-50 th
4830058.2,6-10 th,31-40 th
4792997.2,6-10 th,21-30 th
4866665.2,6-10 th,21-30 th
4847340.8,6-10 th,21-30 th
4909598.2,6-10 th,41-50 th
4935119.0,6-10 th,41-50 th
4976491.6,6-10 th,31-40 th
4991538.2,6-10 th,21-30 th
4988495.6,6-10 th,31-40 th
4990025.2,6-10 th,21-30 th
5089174.4,6-10 th,21-30 th
5079117.4,6-10 th,21-30 th
5130371.6,6-10 th,51-65 th
5109523.0,6-10 th,21-30 th
5180672.2,6-10 th,21-30 th
5172008.2,11-15 th,31-40 th
5156352.8,6-10 th,21-30 th
5152068.8,6-10 th,21-30 th
5206389.6,6-10 th,31-40 th
5186422.0,6-10 th,41-50 th
5200268.8,6-10 th,41-50 th
5262636.4,6-10 th,21-30 th
5258099.8,6-10 th,21-30 th
5224898.0,6-10 th,31-40 th
5229307.0,6-10 th,21-30 th
5274120.2,6-10 th,31-40 th
5276382.2,6-10 th,21-30 th
5342689.2,6-10 th,21-30 th
5332852.4,6-10 th,31-40 th
5377233.0,6-10 th,21-30 th
5378734.6,6-10 th,31-40 th
5366633.4,6-10 th,41-50 th
5412478.8,6-10 th,21-30 th
5485516.0,6-10 th,21-30 th
5567727.2,6-10 th,41-50 th
5543943.0,6-10 th,21-30 th
5546081.6,6-10 th,31-40 th
5587865.0,6-10 th,21-30 th
5571581.6,6-10 th,31-40 th
5635390.0,6-10 th,31-40 th
5618986.0,6-10 th,21-30 th
5668368.6,6-10 th,21-30 th
5660106.0,6-10 th,31-40 th
5712474.0,6-10 th,21-30 th
5696432.8,6-10 th,21-30 th
5734820.6,5 th,31-40 th
5717937.0,5 th,21-30 th
5782103.4,5 th,21-30 th
5778583.6,5 th,21-30 th
5770217.8,5 th,21-30 th
5765604.4,5 th,21-30 th
